         9301 function calls (9153 primitive calls) in 0.201 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.102    0.102 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/psutil/__init__.py:679(get_cpu_percent)
        1    0.100    0.100    0.100    0.100 {built-in method time.sleep}
        1    0.006    0.006    0.051    0.051 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/python_impl.py:137(train)
      8/1    0.001    0.000    0.047    0.047 <frozen importlib._bootstrap>:1349(_find_and_load)
      8/1    0.001    0.000    0.047    0.047 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     19/3    0.000    0.000    0.043    0.014 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      8/2    0.000    0.000    0.043    0.021 <frozen importlib._bootstrap>:911(_load_unlocked)
      6/2    0.000    0.000    0.042    0.021 <frozen importlib._bootstrap_external>:1016(exec_module)
      8/2    0.007    0.001    0.039    0.020 {built-in method builtins.exec}
        1    0.000    0.000    0.039    0.039 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/python_impl.py:1(<module>)
       50    0.004    0.000    0.024    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/python_impl.py:55(forward)
      175    0.019    0.000    0.020    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:13(multiply)
       25    0.006    0.000    0.020    0.001 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/python_impl.py:91(backward)
        2    0.000    0.000    0.014    0.007 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/dataclasses.py:1277(dataclass)
        2    0.000    0.000    0.014    0.007 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/dataclasses.py:1294(wrap)
        2    0.003    0.001    0.014    0.007 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/dataclasses.py:929(_process_class)
        1    0.001    0.001    0.011    0.011 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/random.py:1(<module>)
        8    0.001    0.000    0.010    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
        6    0.001    0.000    0.009    0.001 <frozen importlib._bootstrap_external>:1089(get_code)
        1    0.000    0.000    0.009    0.009 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/activations.py:1(<module>)
        8    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap_external>:1547(find_spec)
        8    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap_external>:1518(_get_spec)
       14    0.003    0.000    0.007    0.001 <frozen importlib._bootstrap_external>:1620(find_spec)
        2    0.000    0.000    0.007    0.003 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/dataclasses.py:470(add_fns_to_class)
      706    0.007    0.000    0.007    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:8(__init__)
      125    0.002    0.000    0.005    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:87(map)
        6    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:778(_compile_bytecode)
        6    0.004    0.001    0.004    0.001 {built-in method marshal.loads}
        1    0.000    0.000    0.004    0.004 {built-in method builtins.__import__}
        8    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      100    0.002    0.000    0.003    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:57(add)
        9    0.001    0.000    0.003    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.003    0.003 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/bisect.py:1(<module>)
       12    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       69    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
       33    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       33    0.002    0.000    0.002    0.000 {built-in method posix.stat}
     1400    0.001    0.000    0.002    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/activations.py:15(sigmoid)
       14    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
        8    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:638(_get_cached)
        8    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:304(acquire)
       12    0.000    0.000    0.001    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/typing.py:426(inner)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1210(get_data)
      212    0.001    0.000    0.001    0.000 {built-in method builtins.max}
       75    0.001    0.000    0.001    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:79(transpose)
  252/152    0.001    0.000    0.001    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.001    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/inspect.py:3338(signature)
        1    0.000    0.000    0.001    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/inspect.py:3062(from_callable)
      3/1    0.000    0.000    0.001    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/inspect.py:2473(_signature_from_callable)
      400    0.000    0.000    0.001    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/python_impl.py:133(<lambda>)
      104    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:1(<module>)
        3    0.000    0.000    0.001    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/typing.py:1423(__init__)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      400    0.000    0.000    0.001    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/activations.py:20(sigmoid_derivative)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1314(create_module)
        2    0.000    0.000    0.001    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/psutil/__init__.py:1169(cpu_times)
        2    0.000    0.000    0.001    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/dataclasses.py:610(_init_fn)
        1    0.000    0.000    0.001    0.001 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:4(Matrix)
        6    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
       25    0.001    0.000    0.001    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:68(subtract)
        2    0.000    0.000    0.001    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/psutil/_pslinux.py:270(get_system_cpu_times)
        2    0.000    0.000    0.001    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/typing.py:1634(__getitem__)
        2    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
        3    0.000    0.000    0.001    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/psutil/_pslinux.py:460(wrapper)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1496(_path_importer_cache)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1615(_get_spec)
      105    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.001    0.001 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/activations.py:5(ActivationFunction)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:162(__enter__)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
     1401    0.001    0.000    0.001    0.000 {built-in method math.exp}
        2    0.000    0.000    0.001    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/typing.py:1719(__getitem__)
        1    0.000    0.000    0.001    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/inspect.py:2369(_signature_from_function)
        7    0.000    0.000    0.001    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/dataclasses.py:768(_get_field)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.001    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/typing.py:1733(__getitem_inner__)
        2    0.000    0.000    0.001    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/psutil/_pslinux.py:576(get_cpu_times)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:829(spec_from_file_location)
