         10431943 function calls (10401839 primitive calls) in 19.539 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1506/2    0.010    0.000   19.375    9.688 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:641(wait)
      430    0.007    0.000   15.679    0.036 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:102(map)
      430    0.007    0.000   15.644    0.036 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:2517(__call__)
      430    1.047    0.002   15.637    0.036 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:2487(_call_as_normal)
      430    4.751    0.011   14.590    0.034 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:2593(_vectorize_call)
       90    0.057    0.001   13.680    0.152 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/python_impl.py:56(forward)
   3717/1    0.153    0.000   10.001   10.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:327(wait)
      2/1    0.076    0.038    9.375    9.375 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/python_impl.py:141(train)
      860    7.505    0.009    7.505    0.009 {built-in method numpy.asanyarray}
       80    0.057    0.001    5.280    0.066 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/python_impl.py:92(backward)
     1502    0.025    0.000    3.894    0.003 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:1056(join)
     1502    0.043    0.000    3.829    0.003 {method 'join' of '_thread._ThreadHandle' objects}
      670    0.035    0.000    3.096    0.005 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:37(multiply)
      670    0.015    0.000    3.008    0.004 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/concurrent/futures/_base.py:646(__exit__)
      670    0.026    0.000    2.962    0.004 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/concurrent/futures/thread.py:219(shutdown)
 1502/670    0.040    0.000    2.293    0.003 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:981(run)
  4040270    1.158    0.000    1.960    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/activations.py:26(relu)
     2680    0.029    0.000    1.627    0.001 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/concurrent/futures/_base.py:428(result)
 1502/670    0.041    0.000    1.565    0.002 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/concurrent/futures/thread.py:69(_worker)
2680/1227    0.132    0.000    1.528    0.001 {method 'get' of '_queue.SimpleQueue' objects}
2680/2211    0.039    0.000    1.032    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/concurrent/futures/thread.py:53(run)
     2680    0.312    0.000    0.840    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/concurrent/futures/thread.py:164(submit)
  4040991    0.804    0.000    0.804    0.000 {built-in method builtins.max}
     2680    0.023    0.000    0.458    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/concurrent/futures/thread.py:183(_adjust_thread_count)
1504/1503    0.017    0.000    0.390    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:953(start)
  1920160    0.292    0.000    0.292    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/activations.py:30(relu_derivative)
2680/2211    1.177    0.000    0.247    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:29(_multiply_chunk)
    20000    0.053    0.000    0.145    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1251(argmax)
     4854    0.082    0.000    0.123    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:281(__init__)
     2680    0.037    0.000    0.119    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:472(acquire)
     1503    0.061    0.000    0.111    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:869(__init__)
  17631/6    0.181    0.000    0.104    0.017 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.101    0.101 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/psutil/__init__.py:679(get_cpu_percent)
        1    0.100    0.100    0.100    0.100 {built-in method time.sleep}
     2680    0.011    0.000    0.099    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/concurrent/futures/_base.py:328(__init__)
    20080    0.022    0.000    0.095    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
     2680    0.049    0.000    0.084    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/concurrent/futures/_base.py:537(set_result)
      430    0.038    0.000    0.074    0.000 /home/richard/.cache/pypoetry/virtualenvs/neural-net-comparisons-5GTvFZuC-py3.13/lib/python3.13/site-packages/numpy/lib/_function_base_impl.py:2524(_get_ufunc_and_otypes)
    20000    0.059    0.000    0.059    0.000 {method 'argmax' of 'numpy.ndarray' objects}
    16408    0.029    0.000    0.056    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:303(__enter__)
     1503    0.054    0.000    0.054    0.000 {built-in method _thread.start_joinable_thread}
     26/4    0.001    0.000    0.050    0.013 <frozen importlib._bootstrap>:1349(_find_and_load)
     26/4    0.001    0.000    0.049    0.012 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     6863    0.018    0.000    0.048    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:398(notify)
     25/4    0.000    0.000    0.047    0.012 <frozen importlib._bootstrap>:911(_load_unlocked)
     12/3    0.000    0.000    0.046    0.015 <frozen importlib._bootstrap_external>:1016(exec_module)
     70/9    0.000    0.000    0.045    0.005 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      670    0.029    0.000    0.045    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/concurrent/futures/thread.py:126(__init__)
     1503    0.009    0.000    0.044    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:620(set)
     12/3    0.000    0.000    0.044    0.015 {built-in method builtins.exec}
     4183    0.005    0.000    0.043    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:428(notify_all)
     4286    0.008    0.000    0.042    0.000 /home/richard/projects/3m/neural_net_comparisons/neural_net_comparisons/implementations/matrix.py:7(__init__)
     2680    0.014    0.000    0.040    0.000 /home/richard/.pyenv/versions/3.13.0/lib/python3.13/threading.py:519(release)
     13/8    0.000    0.000    0.039    0.005 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      6/3    0.000    0.000    0.039    0.013 {built-in method builtins.__import__}
